baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Domain,Phylum,Class,Order,Family,Genus,Species
174.30400979448112,11.28218491482729,0.7952626776439522,14.186740094797267,1.1068570239421382e-45,5.6427571080570206e-42,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Euzebyella,Euzebyella saccharophila
131.79472118808823,10.862284317269346,1.0543502599424779,10.30234897259091,6.876140044807684e-25,1.0561556178792142e-22,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,uncultured,NA
114.6429943227566,10.673298858237475,0.8110484426618584,13.159878370776156,1.4932605814687867e-39,3.8063212221639374e-36,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,Granulosicoccus,uncultured bacterium
92.12669228464735,10.353201541287671,0.8237240352538288,12.568774368830157,3.1354695671855865e-36,5.3282079511707064e-33,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter zeaxanthinifaciens S86
65.68110253846704,9.860007602811478,0.8630226486107963,11.424969690752716,3.1376506735714266e-30,1.9994678917333918e-27,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,uncultured,NA
61.80349755135035,9.770790762294274,0.8056830329538456,12.127338373345147,7.566904210412501e-34,9.644019416170733e-31,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina sp. BG-3-R2
54.25011131868419,9.57935001258929,0.8544369275717243,11.211301505675113,3.58877087816398e-29,1.306825281205712e-26,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
53.37292876074543,9.550904738903936,0.8900020503230746,10.731328917092851,7.254529465376618e-27,1.7611233911661903e-24,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,Granulosicoccus,uncultured bacterium
56.6192493102693,9.538064239839173,1.3348260786861395,7.145548316846961,8.963735421494232e-13,1.3887912383439654e-11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
50.465971152775005,9.472962380701688,0.7843096263620467,12.078090160184844,1.3788522162964562e-33,1.4058777197358668e-30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
46.699018946882084,9.338052902282953,1.021530985239613,9.141233146337303,6.174419566359762e-20,3.278874057218965e-18,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Demequinaceae,Demequina,uncultured bacterium
45.12841125441302,9.308158907146549,0.8467611281524968,10.992662036170138,4.145166980820142e-28,1.3207538292638177e-25,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,uncultured marine bacterium
44.01995149976741,9.2714395177965,0.8472173236517372,10.943401721100406,7.146704245858055e-28,2.14317048502261e-25,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,uncultured,Teredinibacter sp. 1162T.S.0a.05
42.01086819447224,9.202406396892448,0.8436039535413778,10.90844389510211,1.0503892043076893e-27,2.9749356464225558e-25,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,NA
39.60920539274009,9.115300140440146,0.8419249351819775,10.826737348585505,2.5715535878739233e-27,6.899884311042769e-25,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,uncultured Amaricoccus sp.
112.8686078559843,9.10882305182652,1.2234088910793937,7.445444542903357,9.66185128418782e-14,1.7162410399578226e-12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia neptuniae
37.32300714878351,9.027190786109385,0.8392594124144372,10.756138867885154,5.544484504209034e-27,1.4132891001228828e-24,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
131.94988115295206,9.019549068745405,1.298750161878199,6.944791487611217,3.790197188290244e-12,5.308358589533974e-11,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,NA
34.5749506737246,8.913625901819781,0.8355114262282328,10.668466788130898,1.4296589411047757e-26,3.168870122500933e-24,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
