Feature ID	Taxon	Confidence
18c9ae37b8d2dc21dd64595dff430d1e	D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria;D_3__Campylobacterales	0.9961937185137212
2777973351d0af8a580aa888ae825eb5	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Marinilabiliaceae;D_5__Carboxylicivirga;D_6__uncultured bacterium	0.9742666173392057
68b9ce06fc98f29759c01b03263a5d67	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio	0.9569562875508265
94fe820f2ecbd7ef6200d63f00ac6191	D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria;D_3__Campylobacterales;D_4__Arcobacteraceae;D_5__Arcobacter	0.9999998905351764
e59febfff7311fc171d1e1cdb37099ef	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Cellvibrionaceae;D_5__uncultured;D_6__uncultured bacterium	0.8498212595706272
05f0ff6343dd10ca861fa8fcfa04cf33	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__uncultured;D_6__uncultured Firmicutes bacterium	0.9443746501453538
836be0e112c941cc135163482d78de44	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales;D_4__Desulfovibrionaceae;D_5__Desulfovibrio;D_6__Desulfovibrio sp. r02	0.9313372546156008
fe9a49ae1054152be54c46a2b90b0d20	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Alteromonadaceae;D_5__Neiella;D_6__Neiella marina	0.9435632647013658
1c73e1dd8862b6fdbc044d6e0d9ecc26	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Family XII;D_5__Exiguobacterium	0.999881711633523
d049c312ab1e4ac32584fa45f910d24f	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfobacterales;D_4__Desulfobulbaceae	0.9999998926062965
a63bc5995a4325fd8bdec67e7c3d0f53	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Cellvibrionaceae;D_5__Marinagarivorans;D_6__uncultured bacterium	0.7245273688227185
bf907227d440e1805388be1a71b77a50	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Polaribacter 4	0.7879380857533592
a68580e08c7ab43cdd39569be8a160f7	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio	0.9740569345333671
df759a6d02f86cbfbee1086eb4af0555	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales	0.9955456549286507
e90365ed36204bee79d12dd8e193b677	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS3a marine group;D_6__uncultured bacterium	0.8699482808731545
c22b16cc6108c04f29fea3b6d4c81571	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter;D_6__Acinetobacter lwoffii	0.8636999412078956
3d7c55ae4fdf4bb6e0d2a2f2ae66cd6d	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Photobacterium	0.7362007524011688
